"ENSG00000091831" "ENSG00000082175" "ENSG00000141736" "y"
"TCGA-OL-A66N-01A-12R-A31O-07" 11.8435873124 0.150535944544 56.3486166288 0
"TCGA-LL-A73Y-01A-11R-A33J-07" 0.216909015809 0.17713704664 19.0041341418 1
"TCGA-BH-A202-01A-11R-A14M-07" 22.9422279544 3.56413581053 211.27954472 0
"TCGA-E2-A10F-01A-11R-A10J-07" 28.1597651675 88.2374215383 31.7985940523 0
"TCGA-C8-A131-01A-11R-A115-07" 0.261912926997 0.102773359437 18.1996113901 1
"TCGA-A8-A07U-01A-11R-A034-07" 1.73529701975 0.209353208027 31.9642910644 0
"TCGA-BH-A18R-01A-11R-A12D-07" 4.90031312442 0.231837214588 217.504257343 0
"TCGA-C8-A135-01A-11R-A115-07" 0.284552378309 0.188764696927 433.365422368 0
"TCGA-E9-A54Y-01A-11R-A466-07" 53.0153515946 2.20149274068 42.8618960088 0
"TCGA-A2-A0CU-01A-12R-A034-07" 106.700837383 1.00824493122 63.2356731224 0
"TCGA-BH-A0B4-01A-11R-A00Z-07" 28.4081238871 4.65632704289 66.1225883261 0
"TCGA-AO-A12E-01A-11R-A10J-07" 21.6996180354 9.68681612542 40.2817554863 0
"TCGA-AN-A0AT-01A-11R-A034-07" 0.0899624907349 0.0129202841203 9.28401117493 1
"TCGA-BH-A0B8-01A-21R-A056-07" 95.974514497 1.8120048914 44.5532531536 0
"TCGA-S3-AA11-01A-31R-A41B-07" 85.985126611 7.53329688354 43.90254422 0
"TCGA-BH-A0HK-01A-11R-A056-07" 40.0762665643 0.090166181012 34.8127764287 0
"TCGA-AN-A0FW-01A-11R-A034-07" 86.3144841095 5.73976127246 14.089573295 0
"TCGA-E9-A1NH-01A-11R-A14D-07" 65.2004054353 1.64216108397 41.8862707247 0
"TCGA-AR-A5QM-01A-11R-A27Q-07" 50.1452712089 15.3592182829 32.7578476611 0
"TCGA-A2-A0T0-01A-22R-A084-07" 0.327642268417 0.0653741147501 16.4568226305 1
"TCGA-A8-A0A2-01A-11R-A034-07" 94.4555275306 18.2816624552 38.1872063492 0
"TCGA-OK-A5Q2-01A-11R-A27Q-07" 20.6374610441 0.884136516004 86.3074391416 0
"TCGA-B6-A2IU-01A-32R-A18M-07" 41.7454257632 22.4448886712 74.8812940538 0
"TCGA-C8-A12T-01A-11R-A115-07" 7.14809609802 4.9008657736 182.187869271 0
"TCGA-D8-A1XD-01A-11R-A14D-07" 32.2894334773 14.9536038229 52.3827832089 0
"TCGA-BH-A8G0-01A-11R-A352-07" 21.0071775797 9.58471234487 44.9610938372 0
"TCGA-E2-A1IL-01A-11R-A14D-07" 74.9280910692 3.50069566876 54.3608921397 0
"TCGA-AO-A0JG-01A-31R-A084-07" 39.0069483597 0.860599997456 32.0230714432 0
"TCGA-JL-A3YX-01A-11R-A22U-07" 17.7964435637 26.1269717908 36.5666208071 0
"TCGA-D8-A27H-01A-11R-A16F-07" 0.147821934886 0.125044550701 20.801410011 1
"TCGA-LL-A441-01A-11R-A24H-07" 1.87430712862 0.852250837914 18.9582666289 1
"TCGA-AC-A2B8-01A-11R-A17B-07" 20.8509000687 43.2285098498 31.9977300438 0
"TCGA-D8-A1JE-01A-11R-A13Q-07" 106.4143877 18.9798577962 15.399949468 0
"TCGA-WT-AB44-01A-11R-A41B-07" 14.2684510507 0.573863890046 38.2870647235 0
"TCGA-BH-A0BQ-01A-21R-A115-07" 18.2737058373 6.56702470836 54.3661188318 0
"TCGA-A8-A094-01A-11R-A00Z-07" 5.31429039454 0.978500997452 24.6021681495 0
"TCGA-E2-A1B6-01A-31R-A12P-07" 0.35917626162 0.600196765098 14.4002241076 1
"TCGA-A2-A3XT-01A-11R-A22U-07" 3.99363012172 0.0700381144414 6.82885852793 1
"TCGA-S3-A6ZF-01A-32R-A32P-07" 62.5984390476 2.5319132389 36.6266618953 0
"TCGA-A2-A4S0-01A-21R-A266-07" 112.351217637 63.7995715568 19.8332539085 0
"TCGA-AR-A0U4-01A-11R-A109-07" 0.638977437049 0.0583274690758 7.85838830825 1
"TCGA-LD-A74U-01A-13R-A33J-07" 38.2585344046 1.68810747507 26.3860671349 0
"TCGA-A8-A08C-01A-11R-A00Z-07" 130.057424372 0.301848299707 39.1613113441 0
"TCGA-GM-A4E0-01A-12R-A266-07" 15.3737432724 4.34460172177 23.0765219186 0
"TCGA-AO-A0JL-01A-11R-A056-07" 0.628886374711 0.0755976397574 63.5980703222 0
"TCGA-BH-A0HQ-01A-11R-A034-07" 59.0406690358 13.4871839836 70.6147828053 0
"TCGA-E2-A574-01A-11R-A29R-07" 0.0290913474229 0.0136336618604 17.5457563914 1
"TCGA-E2-A15O-01A-11R-A115-07" 81.7488426092 13.9020921009 29.4783814841 0
"TCGA-A7-A26J-01A-11R-A277-07" 29.7912479986 13.0708895555 40.1258546694 0
"TCGA-AN-A0FL-01A-11R-A034-07" 0.0863701985278 1.0729775082 15.0660131999 0
